W1118,W55,W55_M_1,W55_M_1_1,.fastq,96,1
W1118,W55,W55_M_1,W55_M_1_2,.fastq,96,2
W1118,W55,W55_M_1,W55_M_1_3,.fastq,96,3
W1118,W55,W55_M_1,W55_M_1_4,.fastq,96,4
W1118,W55,W55_M_2,W55_M_2_1,.fastq,96,1
W1118,W55,W55_M_2,W55_M_2_2,.fastq,96,2
W1118,W55,W55_M_2,W55_M_2_3,.fastq,96,3
W1118,W55,W55_M_2,W55_M_2_4,.fastq,96,4
W1118,W55,W55_M_3,W55_M_3_1,.fastq,96,1
W1118,W55,W55_M_3,W55_M_3_2,.fastq,96,2
W1118,W55,W55_M_3,W55_M_3_3,.fastq,96,3
W1118,W55,W55_M_3,W55_M_3_4,.fastq,96,4
W1118,W55,W55_V_1,W55_V_1_1,.fastq,96,1
W1118,W55,W55_V_1,W55_V_1_2,.fastq,96,2
W1118,W55,W55_V_1,W55_V_1_3,.fastq,96,3
W1118,W55,W55_V_1,W55_V_1_4,.fastq,96,4
W1118,W55,W55_V_2,W55_V_2_1,.fastq,96,1
W1118,W55,W55_V_2,W55_V_2_2,.fastq,96,2
W1118,W55,W55_V_2,W55_V_2_3,.fastq,96,3
W1118,W55,W55_V_2,W55_V_2_4,.fastq,96,4
W1118,W55,W55_V_3,W55_V_3_1,.fastq,96,1
W1118,W55,W55_V_3,W55_V_3_2,.fastq,96,2
W1118,W55,W55_V_3,W55_V_3_3,.fastq,96,3
W1118,W55,W55_V_3,W55_V_3_4,.fastq,96,4
